"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @SavageSam: “Carpe Keep’em” @Nike https://t.co/07cD2eVJjm",FALSE,0,NA,2019-05-09 17:23:24,FALSE,NA,"1126538170881970179",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Beedxpe",1,TRUE,FALSE,NA,NA
"2","RT @TimeSesethu: This is for our Mbhokodo<U+0001F478> @caster800m. They think we do not know their agenda. They will continue to eat dust again and ag…",FALSE,0,NA,2019-05-09 17:23:19,FALSE,NA,"1126538149444882433",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Keamo_Khunou",81,TRUE,FALSE,NA,NA
"3","RT @TimeSesethu: This is for our Mbhokodo<U+0001F478> @caster800m. They think we do not know their agenda. They will continue to eat dust again and ag…",FALSE,0,NA,2019-05-09 17:22:55,FALSE,NA,"1126538050006396930",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shserere",81,TRUE,FALSE,NA,NA
"4","RT @hypebae: Minimalists will love Undercover x @Nike's black and white Daybreak sneaker. 
https://t.co/APdzb0unfb",FALSE,0,NA,2019-05-09 17:22:30,FALSE,NA,"1126537945404428289",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","enoughofyou__",1,TRUE,FALSE,NA,NA
"5","@Nike I want the family and friends cactus plant and cactus 1s please contact me",FALSE,0,"Nike",2019-05-09 17:22:08,FALSE,NA,"1126537853461258240","415859364","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","inkonmyneck",0,FALSE,FALSE,NA,NA
"6","@KicksFinder I love that the recent 87 releases are starting to sit/be had below retail. One of the freshest new si… https://t.co/5qryqsm6vb",FALSE,0,"KicksFinder",2019-05-09 17:21:31,TRUE,"1126536069938327552","1126537695893819393","1703138106","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Jesse_Wines",0,FALSE,FALSE,NA,NA
"7","AMEN! As @Nike states, JUST DO IT! <U+0001F3AC> https://t.co/k0dqTuImvF",FALSE,0,NA,2019-05-09 17:21:05,FALSE,NA,"1126537589219966976",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Twr15Production",0,FALSE,FALSE,NA,NA
"8","@Joseph0581 @Nike @nikestore I just got one for May",FALSE,0,"Joseph0581",2019-05-09 17:20:56,FALSE,"1126530730262241280","1126537549248229377","2500537336","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sweetpotatoPete",0,FALSE,FALSE,NA,NA
"9","RT @WNBAKicks: Super dope! New York Liberty’s @KayNurse11 stars in the latest @nike Mother’s Day ‘Moms Run The World’ campaign<U+0001F525><U+0001F525> #WNBAKicks…",FALSE,0,NA,2019-05-09 17:20:56,FALSE,NA,"1126537549189611520",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jalynsanders_",12,TRUE,FALSE,NA,NA
"10","@gvitt @Nike @USWNT Boom, men's cut... https://t.co/6YmnWAeudK",FALSE,1,"gvitt",2019-05-09 17:20:28,FALSE,"1126526294416474112","1126537432525094917","13710762","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RAGrayUSA",0,FALSE,FALSE,NA,NA
"11","RT @TimeSesethu: This is for our Mbhokodo<U+0001F478> @caster800m. They think we do not know their agenda. They will continue to eat dust again and ag…",FALSE,0,NA,2019-05-09 17:20:17,FALSE,NA,"1126537384601038849",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AviweMgijima",81,TRUE,FALSE,NA,NA
"12","RT @TimeSesethu: This is for our Mbhokodo<U+0001F478> @caster800m. They think we do not know their agenda. They will continue to eat dust again and ag…",FALSE,0,NA,2019-05-09 17:20:12,FALSE,NA,"1126537364170584064",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","snez43",81,TRUE,FALSE,NA,NA
"13","I wonder if I can be a spokes person for @Nike this summer?",FALSE,0,NA,2019-05-09 17:18:52,FALSE,NA,"1126537029444149248",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Your_REGAL_ness",0,FALSE,FALSE,NA,NA
"14","RT @TimeSesethu: This is for our Mbhokodo<U+0001F478> @caster800m. They think we do not know their agenda. They will continue to eat dust again and ag…",FALSE,0,NA,2019-05-09 17:16:57,FALSE,NA,"1126536548705611781",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lAsh3y",81,TRUE,FALSE,NA,NA
"15","RT @Nike: Never slow down for the world, one day it will catch-up with you. #justdoit https://t.co/xx2UzmQ0Bw",FALSE,0,NA,2019-05-09 17:16:41,FALSE,NA,"1126536481076580353",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","DreamsRestless",7027,TRUE,FALSE,NA,NA
"16","RT @blazindw: There is NO men’s cut version of the 3-star @USWNT jersey, and @ussoccer and @Nike aren’t offering customization of ANY jerse…",FALSE,0,NA,2019-05-09 17:16:04,FALSE,NA,"1126536325505568768",NA,"<a href=""http://klinkerapps.com"" rel=""nofollow"">Talon Android</a>","parsionez",31,TRUE,FALSE,NA,NA
"17","@nike release these in grade school sizes too plsssss https://t.co/0f1jRMpIQR",FALSE,0,"Nike",2019-05-09 17:14:38,FALSE,NA,"1126535962312441856","415859364","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BABYZAEEE",0,FALSE,FALSE,NA,NA
